entry_time,symbol,side,entry_price,sl,tp,setup,exit_time,outcome,pnl_pct,exit_price
2026-01-04 05:01:00,SOL/USDT,LONG,134.43,134.02671,135.10215,RSI Reversal (w/ 5m Trend),2026-01-04 06:43:00,STOP_LOSS,-0.4999999999999988,134.02671
2026-01-04 07:56:00,SOL/USDT,SHORT,133.97,134.37190999999999,133.30015,RSI Reversal (w/ 5m Trend),2026-01-04 08:03:00,TAKE_PROFIT,0.29999999999999755,133.30015
2026-01-04 09:05:00,SOL/USDT,SHORT,134.0,134.402,133.33,RSI Reversal (w/ 5m Trend),2026-01-04 09:52:00,STOP_LOSS,-0.4999999999999902,134.402
